symbol_a,symbol_b,beta,coint_p,half_life,sigma_bps,hurst,pair,sessions,beta_pre_cas,coint_p_pre_cas,half_life_pre_cas,sigma_bps_pre_cas,hurst_pre_cas
M&M,MARUTI,0.7295747667886727,0.026782074687916702,6.50485855253675,305.6378533754602,0.316759576261731,M&M/MARUTI,232,0.7516063312108154,0.0050602876485363124,5.050722595653839,281.26519099071845,0.28012582561306953
INFY,WIPRO,0.9961726417190397,0.03914940773371232,10.27522781344479,435.9949614630573,0.3370546608457814,INFY/WIPRO,232,1.004186422043312,0.051978550762378374,10.303874687741349,447.27759489188605,0.3360030784303677
EICHERMOT,MARUTI,-0.046697706127598174,0.05123500111668266,11.093100676832092,581.8455701490386,0.46854025677867794,EICHERMOT/MARUTI,232,-0.004207331538645726,0.02617923930654941,9.197089338743755,532.7476564701126,0.45500481625587824
LT,SBILIFE,0.36653240271569515,0.053509672510468516,14.232394024943794,480.4480297251708,0.5889850191306544,LT/SBILIFE,232,0.41532406436829344,0.06988215285142543,12.943815523790764,478.2069624714327,0.5843359499616142
LT,ULTRACEMCO,0.13026669621800993,0.05904039485448776,14.892394460464278,514.980838430917,0.5840057165020632,LT/ULTRACEMCO,232,0.13906967403415396,0.08252460981198045,14.471545581516798,523.4525525693131,0.5811587073287837
EICHERMOT,M&M,0.02074776076379349,0.06484644078837061,11.859663258836367,583.1436299341532,0.46231813759863427,EICHERMOT/M&M,232,-0.002237730275517769,0.02648614593496033,9.21573334461831,532.7588630816047,0.4544237944350349
TCS,WIPRO,1.0233335718406043,0.06820804222487059,8.476227726691917,367.51533728596684,0.3655160805974456,TCS/WIPRO,232,1.047706320607579,0.08242888449924668,8.142064984179916,358.49970093597415,0.357011115042904
HEROMOTOCO,M&M,0.7768862442259464,0.07383596110141753,9.653123966394572,368.21891096402624,0.43078298498529116,HEROMOTOCO/M&M,232,0.7674462073670997,0.04843826265791143,8.64949843103349,357.0516847374215,0.40765614176880494
AXISBANK,ICICIBANK,-0.09950224518914112,0.08582615164247137,16.887020486468288,647.7646375142364,0.5190541968002677,AXISBANK/ICICIBANK,232,-0.09144035212531816,0.10799432512193619,17.419574593878274,667.377414550322,0.5190059769221754
AXISBANK,HDFCBANK,-0.15112408188614354,0.08808085559167256,15.78781262350068,625.4057198533545,0.5221269449454811,AXISBANK/HDFCBANK,232,-0.191156361742601,0.1049706998185887,15.57179745803746,634.8656787707721,0.517473265619997
