symbol_a,symbol_b,group,distance,beta,alpha,coint_p,bh_bar,bh_pass,hurst,half_life,sigma_bps,crossings,lots_a,lots_b,notional_a,notional_b,beta_effective,lot_error,lot_size_known,min_notional_for_lot_gate,cost_hard_bps,cost_allin_low_bps,cost_allin_high_bps,cost_coverage,z_today,gate_sigma,gate_half_life,gate_hurst,gate_lot,admitted,mwpl_ban_screen,event_screen
ABB,CUMMINSIND,optics-2,1.4970255384411928,1.070424456837732,-0.35349859514348103,0.5294202086087518,0.04639769452449568,False,0.4218654758243099,17.93601170037621,626.2464198406055,12,1.0,1.0,938625.0,1038600.0,1.106512185377547,0.033713475350167325,True,100000.0,12.955049940071914,17.90535357570915,28.437914502596886,44.04306228457211,1.9130392113269934,True,False,True,True,False,unchecked,unchecked
ABB,SIEMENS,optics-2,7.523701010415782,1.544642172438099,-3.8381625455224295,0.2536853266211955,0.02334293948126801,False,0.4864169694071321,14.082942551122164,699.7685194835997,20,1.0,2.0,938625.0,1431150.0,1.524730323611666,0.012890913625000675,True,700000.0,15.527091490211749,21.460207750699162,34.083859368757494,41.06157767597369,-1.1905401011677852,True,False,True,True,False,unchecked,unchecked
ABCAPITAL,LTF,optics-3,2.1371314220045834,0.989456834542815,0.2527875585372988,0.4468832841154282,0.04005763688760807,False,0.3143005585346224,17.785701220783345,488.194461243919,32,1.0,1.0,1257205.0,707175.0,0.5624977628946751,0.43150853755577834,True,3300000.0,9.609361241802253,13.281230984604738,21.093719799078112,46.28813370937593,1.2850522274174452,True,False,True,False,False,unchecked,unchecked
ABCAPITAL,SHRIRAMFIN,optics-3,26.198445959881845,0.46134396893731766,2.6994527761382163,0.7944729628712244,0.07665706051873199,False,0.4164069325175367,25.324941830525674,600.7599334224925,31,1.0,1.0,1257205.0,896692.5000000001,0.7132428681082242,0.5460110376020366,True,3200000.0,10.53644363886558,14.562564378919905,23.128778719461025,51.949127163986475,1.3399120206310804,True,False,True,False,False,unchecked,unchecked
ADANIENSOL,ADANIENT,optics-17,44.55348187361116,1.282142290966,-2.971622842269396,0.6402624553691079,0.05936599423631125,False,0.49468901838670326,41.99441768799758,1404.4283302617268,11,1.0,1.0,1067445.0,979066.5,0.9172055703104142,0.2846304370637622,True,2000000.0,11.790814257409048,16.29624734763852,25.88227519919059,108.52433330943387,0.016535178717558066,True,False,True,False,False,unchecked,unchecked
ADANIENSOL,ADANIGREEN,optics-17,24.234309611431293,1.1247122453557847,-0.8664017567668774,0.6880789748477694,0.0659942363112392,False,0.49548429003562827,42.04788470954668,1046.5470769907668,11,1.0,1.0,1067445.0,786600.0,0.7368997934319801,0.34481037574293183,True,1800000.0,10.681933729606678,14.763648244171831,23.44814721133173,89.26479926610189,1.5161244100690097,True,False,True,False,False,unchecked,unchecked
ADANIENSOL,ADANIPORTS,optics-17,35.71673275249222,2.1399488125004384,-8.693143766203153,0.18702300473103461,0.01815561959654179,False,0.48098347985189416,14.796350961630163,877.9097962955782,25,1.0,3.0,1067445.0,2433187.5,2.279449995081714,0.06518902777785342,True,1000000.0,20.168617469752544,27.875324958194568,44.27257493360314,39.65930590719898,1.5039060765594277,True,False,True,True,False,unchecked,unchecked
ADANIENSOL,ADANIPOWER,optics-17,4.738110925111233,1.0707444385695353,1.5338485084846731,0.4186150175995339,0.03717579250720461,False,0.4353579493349748,16.58545603362997,834.7186846221216,18,1.0,1.0,1067445.0,754836.5,0.707143225177878,0.33957796117756317,True,1800000.0,10.49893083484395,14.510717414011962,23.046433539901354,72.43799203698347,1.1201992820435749,True,False,True,False,False,unchecked,unchecked
ADANIENT,ADANIGREEN,optics-17,4.429799584019998,0.7402552430616924,2.602769536325907,0.6634243122763385,0.06253602305475506,False,0.4428944877878028,25.012215691485633,527.8777975585122,22,1.0,1.0,979066.5,786600.0,0.8034183582014092,0.08532613005005457,True,100000.0,11.091022902938667,15.329056044711978,24.346147835719023,43.36437954131253,2.7333617968420487,True,False,True,True,False,unchecked,unchecked
ADANIENT,ADANIPORTS,optics-17,3.147377748134975,1.2294891915625614,-1.2341400146904387,0.7450977401315981,0.07175792507204612,False,0.44267428035051976,36.882140938724845,806.0346232276178,14,1.0,2.0,979066.5,1622125.0,1.6568077857837031,0.34755782901845705,True,1700000.0,16.339367882569775,22.582866179161478,35.86690510807999,44.9458697815573,1.790607245591346,True,False,True,False,False,unchecked,unchecked
ADANIENT,ADANIPOWER,optics-17,42.12882546262591,0.5593562794856713,4.9279520841272095,0.8178610824938383,0.07896253602305477,False,0.5711637177121912,35.57305779174072,955.6957764854862,16,1.0,1.0,979066.5,754836.5,0.7709757202396365,0.37832674543056777,True,2500000.0,10.891500679473765,15.05329362203691,23.90817222323509,79.94720529549272,1.4142737215087315,True,False,False,False,False,unchecked,unchecked
ADANIGREEN,ADANIPORTS,optics-17,3.9309510362175293,1.718116628932897,-5.603464787326732,0.20614500644401523,0.019020172910662825,False,0.30795708728376886,13.110830625772552,683.7979420392439,28,1.0,2.0,786600.0,1622125.0,2.0621980676328504,0.20026663667975697,True,1200000.0,18.83251811594203,26.028683574879228,41.339673913043484,33.08192239143387,-0.08136057176046865,True,False,True,False,False,unchecked,unchecked
ADANIGREEN,ADANIPOWER,optics-17,21.49850808215806,0.8313025183708251,2.7530391729429002,0.26124660797530064,0.02420749279538905,False,0.47385133308939414,15.712013481325682,794.1522787057879,14,1.0,1.0,786600.0,754836.5,0.959619247393847,0.1543562375758167,True,3600000.0,12.05165837147216,16.6567636028477,26.454859839816933,60.03829039460777,-0.37655329784534364,True,False,True,False,False,unchecked,unchecked
ADANIPORTS,ADANIPOWER,optics-17,31.04498138656887,0.4497359104344593,5.038647362500617,0.14365203578512947,0.01585014409221902,False,0.5029059622239103,10.034701665307775,441.7515487682744,22,1.0,1.0,811062.5,754836.5,0.930676119287971,1.069383604233222,True,1300000.0,11.873658133621023,16.410747013947756,26.06412761038761,33.897282531122855,-0.14137977803852755,True,False,False,False,False,unchecked,unchecked
ALKEM,APOLLOHOSP,optics-5,1.9858002191843345,-0.06233768501282453,9.175495109598852,0.007438611406374305,0.001440922190201729,False,0.2726078536445221,5.686108165615349,274.69945185420545,32,1.0,1.0,669375.0,1104812.5,-1.6505135387488328,25.476978386497315,True,16400000.0,16.300658263305323,22.52936507936508,35.78193277310924,15.354086856965255,-0.846544597123266,True,False,True,False,False,unchecked,unchecked
ALKEM,FORTIS,optics-5,1.3230534523693942,0.022645890295400425,8.462094140780257,0.013419873260609361,0.0025936599423631124,False,0.2775942901644259,6.192513987457379,278.2287903353037,30,1.0,1.0,669375.0,718231.25,1.0729878618113913,46.38112954778927,True,29200000.0,12.74887535014006,17.620396825396828,27.985336134453785,19.88389841012243,-1.114827860931332,True,False,True,False,False,unchecked,unchecked
ALKEM,MANKIND,optics-5,5.507387745331295,-0.02138207168037059,8.782512787527,0.01046841060232715,0.002017291066282421,False,0.280010165275335,5.944462295936,278.1293928364214,32,1.0,1.0,669375.0,595725.0,-0.8899719887955182,40.622346145838634,True,25200000.0,11.623327731092438,16.064761904761905,25.514621848739495,21.80156887962358,-1.0951105563690733,True,False,True,False,False,unchecked,unchecked
APOLLOHOSP,FORTIS,optics-5,1.379958663563886,0.5445030027573446,5.239257077058547,0.978672260773231,0.09596541786743518,False,0.4548753717263918,144.47771932502155,657.1667914737739,14,1.0,1.0,1104812.5,718231.25,0.6500933416303671,0.19392058140784646,True,5000000.0,10.148074051026759,14.02579340385812,22.276260112009957,59.00153689797067,1.943844647966486,True,False,True,False,False,unchecked,unchecked
