symbol_a,symbol_b,group,distance,beta,alpha,coint_p,bh_bar,bh_pass,hurst,half_life,sigma_bps,crossings,lots_a,lots_b,notional_a,notional_b,beta_effective,lot_error,lot_size_known,min_notional_for_lot_gate,cost_hard_bps,cost_allin_low_bps,cost_allin_high_bps,cost_coverage,z_today,gate_sigma,gate_half_life,gate_hurst,gate_lot,admitted,mwpl_ban_screen,event_screen
ABB,CUMMINSIND,optics-2,1.4970255384411928,1.070424456837732,-0.35349859514348103,0.5294202086087518,0.04639769452449568,False,0.4218654758243099,17.93601170037621,626.2464198406055,12,3.0,3.0,2815875.0,3115800.0,1.106512185377547,0.033713475350167325,True,100000.0,12.955049940071914,17.90535357570915,28.437914502596886,44.04306228457211,1.9130392113269934,True,False,True,True,False,unchecked,unchecked
ABB,SIEMENS,optics-2,7.523701010415782,1.544642172438099,-3.8381625455224295,0.2536853266211955,0.02334293948126801,False,0.4864169694071321,14.082942551122164,699.7685194835997,20,3.0,5.0,2815875.0,3577875.0,1.2706086030097217,0.17740909468750057,True,700000.0,13.964242908509787,19.30017312558263,30.65321614063124,45.65710275053633,-1.1905401011677852,True,False,True,False,False,unchecked,unchecked
ABCAPITAL,LTF,optics-3,2.1371314220045834,0.989456834542815,0.2527875585372988,0.4468832841154282,0.04005763688760807,False,0.3143005585346224,17.785701220783345,488.194461243919,32,2.0,3.0,2514410.0,2121525.0,0.8437466443420126,0.1472628063336676,True,3300000.0,11.339041862703377,15.671846476907106,24.89057969861717,39.227247187902286,1.2850522274174452,True,False,True,False,False,unchecked,unchecked
ABCAPITAL,SHRIRAMFIN,optics-3,26.198445959881845,0.46134396893731766,2.6994527761382163,0.7944729628712244,0.07665706051873199,False,0.4164069325175367,25.324941830525674,600.7599334224925,31,2.0,1.0,2514410.0,896692.5000000001,0.3566214340541121,0.2269944811989817,True,3200000.0,8.34322181943279,11.531282189459953,18.314389359730512,65.60523767649465,1.3399120206310804,True,False,True,False,False,unchecked,unchecked
ADANIENSOL,ADANIENT,optics-17,44.55348187361116,1.282142290966,-2.971622842269396,0.6402624553691079,0.05936599423631125,False,0.49468901838670326,41.99441768799758,1404.4283302617268,11,2.0,3.0,2134890.0,2937199.5,1.375808355465621,0.07305434440435664,True,2000000.0,14.61122138611357,20.19437102145778,32.07341279878588,87.57585848892829,0.016535178717558066,True,False,True,True,False,unchecked,unchecked
ADANIENSOL,ADANIGREEN,optics-17,24.234309611431293,1.1247122453557847,-0.8664017567668774,0.6880789748477694,0.0659942363112392,False,0.49548429003562827,42.04788470954668,1046.5470769907668,11,2.0,4.0,2134890.0,3146400.0,1.4737995868639602,0.3103792485141364,True,1800000.0,15.213867459213356,21.027296488343662,33.39629442266346,62.67444308315577,1.5161244100690097,True,False,True,False,False,unchecked,unchecked
ADANIENSOL,ADANIPORTS,optics-17,35.71673275249222,2.1399488125004384,-8.693143766203153,0.18702300473103461,0.01815561959654179,False,0.48098347985189416,14.796350961630163,877.9097962955782,25,2.0,7.0,2134890.0,5677437.5,2.6593583275953327,0.24272053240749555,True,1000000.0,22.5050537147113,31.10454578456033,49.40133742253699,35.5419444937972,1.5039060765594277,True,False,True,False,False,unchecked,unchecked
ADANIENSOL,ADANIPOWER,optics-17,4.738110925111233,1.0707444385695353,1.5338485084846731,0.4186150175995339,0.03717579250720461,False,0.4353579493349748,16.58545603362997,834.7186846221216,18,2.0,4.0,2134890.0,3019346.0,1.414286450355756,0.3208440776448737,True,1800000.0,14.8478616696879,20.521434828023924,32.59286707980271,51.22094245825853,1.1201992820435749,True,False,True,False,False,unchecked,unchecked
ADANIENT,ADANIGREEN,optics-17,4.429799584019998,0.7402552430616924,2.602769536325907,0.6634243122763385,0.06253602305475506,False,0.4428944877878028,25.012215691485633,527.8777975585122,22,3.0,2.0,2937199.5,1573200.0,0.5356122388009394,0.27644924663329695,True,100000.0,9.444015268625778,13.052704029807986,20.730765223812682,50.92699587877807,2.7333617968420487,True,False,True,False,False,unchecked,unchecked
ADANIENT,ADANIPORTS,optics-17,3.147377748134975,1.2294891915625614,-1.2341400146904387,0.7450977401315981,0.07175792507204612,False,0.44267428035051976,36.882140938724845,806.0346232276178,14,3.0,4.0,2937199.5,3244250.0,1.104538523855802,0.10162811398769529,True,1700000.0,12.942911921713183,17.888577452774317,28.411270072053327,56.740485109144885,1.790607245591346,True,False,True,False,False,unchecked,unchecked
ADANIENT,ADANIPOWER,optics-17,42.12882546262591,0.5593562794856713,4.9279520841272095,0.8178610824938383,0.07896253602305477,False,0.5711637177121912,35.57305779174072,955.6957764854862,16,3.0,2.0,2937199.5,1509673.0,0.513983813493091,0.08111550304628815,True,2500000.0,9.31100045298251,12.868862414691273,20.438781482156728,93.51788190698342,1.4142737215087315,True,False,False,True,False,unchecked,unchecked
ADANIGREEN,ADANIPORTS,optics-17,3.9309510362175293,1.718116628932897,-5.603464787326732,0.20614500644401523,0.019020172910662825,False,0.30795708728376886,13.110830625772552,683.7979420392439,28,3.0,5.0,2359800.0,4055312.5,1.7184983896940418,0.00022219723313068618,True,1200000.0,16.71876509661836,23.107236312399355,36.69972826086956,37.26446894530995,-0.08136057176046865,True,False,True,True,False,unchecked,unchecked
ADANIGREEN,ADANIPOWER,optics-17,21.49850808215806,0.8313025183708251,2.7530391729429002,0.26124660797530064,0.02420749279538905,False,0.47385133308939414,15.712013481325682,794.1522787057879,14,3.0,3.0,2359800.0,2264509.5,0.959619247393847,0.1543562375758167,True,3600000.0,12.05165837147216,16.6567636028477,26.454859839816933,60.03829039460777,-0.37655329784534364,True,False,True,False,False,unchecked,unchecked
ADANIPORTS,ADANIPOWER,optics-17,31.04498138656887,0.4497359104344593,5.038647362500617,0.14365203578512947,0.01585014409221902,False,0.5029059622239103,10.034701665307775,441.7515487682744,22,3.0,1.0,2433187.5,754836.5,0.31022537309599035,0.31020546525559256,True,1300000.0,8.057886044540341,11.136915671315917,17.68804253679587,49.9491730471942,-0.14137977803852755,True,False,False,False,False,unchecked,unchecked
ALKEM,APOLLOHOSP,optics-5,1.9858002191843345,-0.06233768501282453,9.175495109598852,0.007438611406374305,0.001440922190201729,False,0.2726078536445221,5.686108165615349,274.69945185420545,32,4.0,1.0,2677500.0,1104812.5,-0.4126283846872082,5.619244596624329,True,16400000.0,8.68766456582633,12.00734126984127,19.07048319327731,28.808861219734798,-0.846544597123266,True,False,True,False,False,unchecked,unchecked
